"","dhSph-1P","Sph","Sph-1P"
"BC-01","53.4283305492572","9.07352365537849","124.057237018458"
"BC-02","60.4860944561102","2.44663919322709","123.62427960098"
"BC-03","16.0891044002367","3.01143411354582","48.0012900168492"
"BC-04","23.878303581247","2.42365358565737","72.0695579957111"
"BC-05","53.314698351024","2.20178555776892","136.42847466876"
"BC-06","45.7157414631847","2.26696802788845","127.639606628628"
"BC-07","29.8776647274136","1.18892505976096","87.8529979129969"
"BC-08","55.2071719197558","1.94272917330677","130.322315137474"
"BC-09","55.5150785214199","2.01796060756972","137.854912594777"
"BC-10","68.9079683924448","1.98496797310757","152.956247127977"
"BC-11","52.7329224420973","3.3876312250996","135.372048996707"
"BC-12","51.6808034896082","2.04138555776892","144.265506529065"
"BC-13","37.1188111034891","1.83319107071713","115.359077027648"
"BC-14","49.3173584964942","1.88405696215139","137.037582809987"
"DM-01","0.0492603351428571","11.6124495106041","0.165459428935065"
"DM-02","0.0182668222857143","12.3570434181991","0.126778673532468"
"DM-03","0.0201052456666667","28.4950738652086","0.0859320745194805"
"DM-04","0.00658037695238095","4.82649830677291","0.0390935941558442"
"DM-05","0.0843572242857143","9.25956528884462","0.208163542363636"
"DM-06","0.00448279631904762","3.47124611553785","0.0356289203116883"
"DM-07","0.114734123809524","32.2272671696122","0.186302586493507"
"DM-08","0.0412707301428571","22.6141719953581","0.192330864207792"
"DM-09","0.0580062766666667","15.9364654098034","0.259806082753247"
"DM-10","0.035710431","16.2228097308591","0.139399892545455"
"DM-11","0.0571333979047619","14.0538303298891","0.125465284753247"
"DM-12","0.0354935152380952","14.2785899220699","0.179436932441558"
"RP-01","0.230373463809524","26.3935566628842","0.183358900597403"
"RP-02","0.164547092857143","26.8159193628308","0.104766412779221"
"RP-03","0.10056128952381","21.94019352749","0.0821450328831169"
"RP-04","0.0862285066666667","17.0026684570784","0.0976405247272727"
"RP-05","0.0650387980952381","23.3932584992718","0.0582853967012987"
"RP-06","0.0853754476190476","20.4273671294995","0.110044665428571"
"RP-07","0.0998096471428571","20.8084588373335","0.0820810792727273"
"RP-08","0.158491069047619","16.4545622250299","0.103879641376623"
"RP-09","0.0522739748571429","19.0143719151328","0.0426336604675325"
"RP-10","0.0398197763809524","18.3799698404288","0.0169210594155844"
"RP-11","0.118796006190476","20.817039085174","0.094764952025974"
"RP-12","0.0160329318571429","13.884584941236","0.0148739459428571"
"RP-13","0.0488010625238095","15.2107265968378","0.0359811851168831"
"RP-14","0.0672740214285714","15.1743248953746","0.0562557794805195"
